type,geometry.type,geometry.coordinates,properties.customID,properties.popupContent,Titel,Datum,URL
Feature,Point,"(4.795650243759156, 52.50071854144883)",exc2764,<strong>VAAREXCURSIE: Doortrekkers en overwinteraars</strong><br /><br /><br />Excursie<br />zaterdag 6 november 2021<br /><a href='/ontdek-vogels/activiteiten/details/?excursie=2764&amp;datum=5969'>Lees verder</a>,VAAREXCURSIE: Doortrekkers en overwinteraars,zaterdag 6 november 2021,https://www.vogelbescherming.nl//ontdek-vogels/activiteiten/details/?excursie=2764&amp;datum=5969
Feature,Point,"(5.427623749565101, 52.4518432869584)",exc2224,<strong>Rust en vogels in de Oostvaardersplassen</strong><br /><br /><br />Excursie<br />vrijdag 12 november 2021<br /><a href='/ontdek-vogels/activiteiten/details/?excursie=2224&amp;datum=6021'>Lees verder</a>,Rust en vogels in de Oostvaardersplassen,vrijdag 12 november 2021,https://www.vogelbescherming.nl//ontdek-vogels/activiteiten/details/?excursie=2224&amp;datum=6021
Feature,Point,"(4.795650243759156, 52.50071854144883)",exc2764,<strong>VAAREXCURSIE: Doortrekkers en overwinteraars</strong><br /><br /><br />Excursie<br />zaterdag 13 november 2021<br /><a href='/ontdek-vogels/activiteiten/details/?excursie=2764&amp;datum=5970'>Lees verder</a>,VAAREXCURSIE: Doortrekkers en overwinteraars,zaterdag 13 november 2021,https://www.vogelbescherming.nl//ontdek-vogels/activiteiten/details/?excursie=2764&amp;datum=5970
Feature,Point,"(5.074675083160401, 51.602212604915)",exc2782,<strong>De Vogels van het Noorderbos - Tilburg</strong><br /><br /><br />Excursie<br />zondag 14 november 2021<br /><a href='/ontdek-vogels/activiteiten/details/?excursie=2782&amp;datum=6020'>Lees verder</a>,De Vogels van het Noorderbos - Tilburg,zondag 14 november 2021,https://www.vogelbescherming.nl//ontdek-vogels/activiteiten/details/?excursie=2782&amp;datum=6020
Feature,Point,"(3.9829194545745854, 51.835804038589394)",exc2713,<strong>Wintergasten aan de kust</strong><br /><br /><br />Excursie<br />zaterdag 20 november 2021<br /><a href='/ontdek-vogels/activiteiten/details/?excursie=2713&amp;datum=5975'>Lees verder</a>,Wintergasten aan de kust,zaterdag 20 november 2021,https://www.vogelbescherming.nl//ontdek-vogels/activiteiten/details/?excursie=2713&amp;datum=5975
Feature,Point,"(5.663044452667237, 51.963539240530004)",exc2783,<strong>Wintergasten in de uiterwaarden</strong><br /><br /><br />Excursie<br />zondag 21 november 2021<br /><a href='/ontdek-vogels/activiteiten/details/?excursie=2783&amp;datum=6022'>Lees verder</a>,Wintergasten in de uiterwaarden,zondag 21 november 2021,https://www.vogelbescherming.nl//ontdek-vogels/activiteiten/details/?excursie=2783&amp;datum=6022
Feature,Point,"(4.564912968344289, 52.331383998487944)",exc2286,<strong>Vogels in de Amsterdamse waterleidingduinen</strong><br /><br /><br />Excursie<br />zaterdag 11 december 2021<br /><a href='/ontdek-vogels/activiteiten/details/?excursie=2286&amp;datum=6023'>Lees verder</a>,Vogels in de Amsterdamse waterleidingduinen,zaterdag 11 december 2021,https://www.vogelbescherming.nl//ontdek-vogels/activiteiten/details/?excursie=2286&amp;datum=6023
Feature,Point,"(5.2839088439941415, 52.69833766955953)",exc2518,<strong>Vogelzeilexcursie naar Marker Wadden</strong><br /><br /><br />Excursie<br />zaterdag 11 december 2021<br /><a href='/ontdek-vogels/activiteiten/details/?excursie=2518&amp;datum=5983'>Lees verder</a>,Vogelzeilexcursie naar Marker Wadden,zaterdag 11 december 2021,https://www.vogelbescherming.nl//ontdek-vogels/activiteiten/details/?excursie=2518&amp;datum=5983
Feature,Point,"(5.2839088439941415, 52.69833766955953)",exc2518,<strong>Vogelzeilexcursie naar Marker Wadden</strong><br /><br /><br />Excursie<br />zondag 12 december 2021<br /><a href='/ontdek-vogels/activiteiten/details/?excursie=2518&amp;datum=6018'>Lees verder</a>,Vogelzeilexcursie naar Marker Wadden,zondag 12 december 2021,https://www.vogelbescherming.nl//ontdek-vogels/activiteiten/details/?excursie=2518&amp;datum=6018
Feature,Point,"(4.795639514923097, 52.50069241666175)",exc2780,<strong>VAAREXCURSIE: Jagende slechtvalken en grazende smienten</strong><br /><br /><br />Excursie<br />zaterdag 18 december 2021<br /><a href='/ontdek-vogels/activiteiten/details/?excursie=2780&amp;datum=6015'>Lees verder</a>,VAAREXCURSIE: Jagende slechtvalken en grazende smienten,zaterdag 18 december 2021,https://www.vogelbescherming.nl//ontdek-vogels/activiteiten/details/?excursie=2780&amp;datum=6015
Feature,Point,"(3.8267568302154586, 51.68681630624849)",exc2279,<strong>Ontdek vogelboulevard Prunjepolder</strong><br /><br /><br />Excursie<br />zaterdag 8 januari 2022<br /><a href='/ontdek-vogels/activiteiten/details/?excursie=2279&amp;datum=5976'>Lees verder</a>,Ontdek vogelboulevard Prunjepolder,zaterdag 8 januari 2022,https://www.vogelbescherming.nl//ontdek-vogels/activiteiten/details/?excursie=2279&amp;datum=5976
Feature,Point,"(4.795639514923097, 52.50069241666175)",exc2780,<strong>VAAREXCURSIE: Jagende slechtvalken en grazende smienten</strong><br /><br /><br />Excursie<br />zaterdag 15 januari 2022<br /><a href='/ontdek-vogels/activiteiten/details/?excursie=2780&amp;datum=6016'>Lees verder</a>,VAAREXCURSIE: Jagende slechtvalken en grazende smienten,zaterdag 15 januari 2022,https://www.vogelbescherming.nl//ontdek-vogels/activiteiten/details/?excursie=2780&amp;datum=6016
